Parameter S1 S1_conf ST ST_conf
k368 -0.000001 0.000003 0.000000 0.000000
k369 -0.000001 0.000002 0.000000 0.000000
k370 0.000003 0.000008 0.000000 0.000000
k371 -0.000542 0.001087 0.000022 0.000043
k372 -0.000008 0.000026 0.000000 0.000000
k373 -0.000236 0.000443 0.000006 0.000012
k374 -0.000132 0.000155 0.000001 0.000000
k375 -0.000011 0.000047 0.000000 0.000000
k376 -0.000002 0.000012 0.000000 0.000000
k377 0.000807 0.001453 0.000034 0.000058
k378 0.000621 0.000749 0.000009 0.000010
k379 -0.000036 0.000079 0.000000 0.000000
k380 0.000001 0.000005 0.000000 0.000000
k381 -0.000174 0.000454 0.000007 0.000012
k382 0.000026 0.000061 0.000000 0.000000
k383 -0.000121 0.000247 0.000004 0.000009
k384 0.000000 0.000000 0.000000 0.000000
k385 -0.000083 0.000181 0.000001 0.000001
k386 -0.000082 0.000364 0.000005 0.000004
k387 0.000001 0.000006 0.000000 0.000000
k388 -0.000007 0.000052 0.000000 0.000000
k389 -0.000016 0.000036 0.000000 0.000000
k390 0.000000 0.000003 0.000000 0.000000
k391 -0.000185 0.000380 0.000007 0.000005
k392 -0.000148 0.000368 0.000004 0.000003
k393 -0.000273 0.000828 0.000015 0.000013
k394 0.000135 0.000208 0.000001 0.000002
k395 0.000000 0.000000 0.000000 0.000000
k396 -0.000487 0.001874 0.000121 0.000054
k397 0.000039 0.000137 0.000001 0.000001
k398 0.004910 0.006935 0.001628 0.000701
k399 -0.001781 0.002319 0.000163 0.000065
k400 -0.001762 0.002411 0.000203 0.000056
k401 -0.000306 0.000340 0.000003 0.000002
k402 -0.003055 0.003812 0.000372 0.000188
k403 0.000645 0.001611 0.000089 0.000019
k404 -0.000653 0.002613 0.000283 0.000113
k405 -0.000047 0.000155 0.000001 0.000001
