Parameter S1 S1_conf ST ST_conf
k356 -0.001442 0.003332 0.000228 0.000150
k357 0.000343 0.001233 0.000031 0.000022
k358 0.000837 0.002361 0.000099 0.000027
k359 -0.000262 0.000691 0.000006 0.000011
k360 0.001093 0.002162 0.000090 0.000022
k361 0.004417 0.010588 0.001870 0.003159
k362 -0.000437 0.001743 0.000061 0.000020
k363 -0.000173 0.000256 0.000002 0.000004
k364 0.000178 0.000236 0.000001 0.000001
k365 0.000051 0.000349 0.000004 0.000006
k366 0.000008 0.000020 0.000000 0.000000
k367 -0.000001 0.000007 0.000000 0.000000
k368 -0.000002 0.000002 0.000000 0.000000
k369 -0.000001 0.000001 0.000000 0.000000
k370 0.000009 0.000036 0.000000 0.000000
k371 0.008167 0.016331 0.008131 0.016150
k372 -0.000004 0.000011 0.000000 0.000000
k373 0.020934 0.039941 0.019435 0.037048
k374 -0.000314 0.000808 0.000012 0.000012
k375 -0.000013 0.000082 0.000000 0.000000
k376 -0.000003 0.000015 0.000000 0.000000
k377 -0.000231 0.001567 0.000065 0.000093
k378 -0.000491 0.001105 0.000023 0.000037
k379 0.000065 0.000153 0.000000 0.000000
k380 -0.000002 0.000005 0.000000 0.000000
k381 0.020881 0.039938 0.019435 0.037048
k382 0.000054 0.000150 0.000000 0.000000
k383 0.005349 0.010058 0.001657 0.003109
k384 0.000000 0.000000 0.000000 0.000000
k385 -0.002186 0.004866 0.000435 0.000583
k386 -0.000132 0.000503 0.000004 0.000003
k387 0.000056 0.000077 0.000000 0.000000
k388 -0.000056 0.000074 0.000000 0.000000
k389 0.000008 0.000097 0.000000 0.000000
k390 -0.000001 0.000003 0.000000 0.000000
k391 0.000232 0.000677 0.000010 0.000003
k392 0.000027 0.000630 0.000007 0.000005
k393 0.000233 0.000583 0.000009 0.000010
k394 -0.000322 0.000314 0.000003 0.000005
k395 0.000000 0.000000 0.000000 0.000000
k396 -0.000798 0.002150 0.000085 0.000027
k397 -0.000078 0.000201 0.000001 0.000001
k398 -0.002103 0.006208 0.000651 0.000189
k399 -0.000074 0.002883 0.000181 0.000114
k400 0.001531 0.002731 0.000151 0.000039
k401 0.000002 0.000387 0.000002 0.000001
k402 0.001212 0.003838 0.000226 0.000088
k403 0.001125 0.003378 0.000218 0.000047
k404 -0.001003 0.001408 0.000033 0.000010
k405 -0.000239 0.000759 0.000014 0.000016

Parameter_1 Parameter_2 S2 S2_conf
Tmax h 0.016355 0.081301
Tmax Carbon 0.013460 0.081778
Tmax Hydrogen 0.016517 0.081651
Tmax k0 0.018126 0.081223
Tmax k1 0.018779 0.081067
Tmax k2 0.017782 0.081138
Tmax k3 0.020334 0.081146
Tmax k4 0.017755 0.081043
Tmax k5 0.017770 0.081126
Tmax k6 0.017927 0.080959
Tmax k7 0.017449 0.081028
Tmax k8 0.017557 0.081209
Tmax k9 0.018144 0.081165
Tmax k10 0.018470 0.081118
Tmax k11 0.017839 0.081115
Tmax k12 0.017570 0.081079
Tmax k13 0.017852 0.081119
Tmax k14 0.017225 0.081233
Tmax k15 0.018535 0.080785
Tmax k16 0.017805 0.081115
Tmax k17 0.014290 0.081389
Tmax k18 0.017748 0.081106
Tmax k19 0.017702 0.081133
Tmax k20 0.017246 0.081118
Tmax k21 0.019538 0.081295
Tmax k22 0.017793 0.081109
Tmax k23 0.017776 0.081564
Tmax k24 0.017837 0.081115
Tmax k25 0.018154 0.081103
Tmax k26 0.018143 0.081107
Tmax k27 0.017810 0.081113
Tmax k28 0.017177 0.081483
Tmax k29 0.016920 0.081095
Tmax k30 0.019406 0.081002
Tmax k31 0.017806 0.081850
Tmax k32 0.017707 0.081131
Tmax k33 0.017859 0.081117
Tmax k34 0.016318 0.081097
Tmax k35 0.017473 0.081146
Tmax k36 0.017841 0.081116
