Parameter S1 S1_conf ST ST_conf
Tmax k113 -0.045357 0.071697
Tmax k114 -0.045358 0.071697
Tmax k115 -0.045259 0.071719
Tmax k116 -0.045357 0.071697
Tmax k117 -0.045409 0.071693
Tmax k118 -0.045387 0.071706
Tmax k119 -0.045595 0.071704
Tmax k120 -0.045358 0.071697
Tmax k121 -0.045345 0.071697
Tmax k122 -0.045357 0.071697
Tmax k123 -0.045357 0.071697
Tmax k124 -0.045351 0.071697
Tmax k125 -0.045364 0.071695
Tmax k126 -0.045341 0.071703
Tmax k127 -0.045450 0.071694
Tmax k128 -0.045357 0.071695
Tmax k129 -0.045390 0.071675
Tmax k130 -0.045370 0.071697
Tmax k131 -0.045358 0.071697
Tmax k132 -0.045358 0.071697
Tmax k133 -0.045361 0.071697
Tmax k134 -0.045358 0.071697
Tmax k135 -0.045357 0.071697
Tmax k136 -0.045427 0.071704
Tmax k137 -0.045357 0.071697
Tmax k138 -0.045746 0.071755
Tmax k139 -0.045451 0.071733
Tmax k140 -0.045459 0.071637
Tmax k141 -0.045354 0.071697
Tmax k142 -0.045316 0.071705
Tmax k143 -0.045358 0.071697
Tmax k144 -0.045358 0.071697
Tmax k145 -0.045357 0.071697
Tmax k146 -0.045356 0.071697
Tmax k147 -0.045360 0.071697
Tmax k148 -0.045364 0.071719
Tmax k149 -0.045358 0.071697
Tmax k150 -0.045476 0.071705
Tmax k151 -0.045358 0.071697
Tmax k152 -0.045358 0.071697
Tmax k153 -0.045357 0.071697
Tmax k154 -0.045356 0.071697
Tmax k155 -0.045358 0.071697
Tmax k156 -0.045392 0.071697
Tmax k157 -0.045300 0.071658
Tmax k158 -0.045357 0.071697
Tmax k159 -0.045004 0.071648
Tmax k160 -0.045237 0.071598
Tmax k161 -0.045415 0.071595
Tmax k162 -0.045358 0.071697
Tmax k163 -0.045453 0.071715
Tmax k164 -0.045357 0.071696
Tmax k165 -0.045368 0.071698
Tmax k166 -0.045282 0.071696
Tmax k167 -0.045393 0.071705
Tmax k168 -0.045402 0.071682
Tmax k169 -0.045328 0.071711
Tmax k170 -0.045371 0.071698
Tmax k171 -0.045280 0.071676
Tmax k172 -0.045347 0.071699
Tmax k173 -0.045357 0.071697
Tmax k174 -0.045351 0.071697
Tmax k175 -0.045366 0.071701
Tmax k176 -0.045339 0.071694
Tmax k177 -0.045338 0.071695
Tmax k178 -0.045423 0.071707
Tmax k179 -0.045388 0.071643
Tmax k180 -0.045368 0.071692
Tmax k181 -0.044718 0.071659
Tmax k182 -0.045358 0.071697
Tmax k183 -0.045366 0.071699
Tmax k184 -0.045282 0.071679
Tmax k185 -0.045422 0.071729
Tmax k186 -0.045412 0.071693
Tmax k187 -0.045382 0.071692
Tmax k188 -0.045251 0.071634
Tmax k189 -0.045372 0.071704
Tmax k190 -0.045208 0.071659
Tmax k191 -0.045488 0.071717
Tmax k192 -0.045777 0.071720
Tmax k193 -0.045727 0.071707
Tmax k194 -0.045352 0.071694
Tmax k195 -0.045358 0.071697
Tmax k196 -0.045368 0.071701
Tmax k197 -0.045359 0.071697
Tmax k198 -0.045362 0.071700
Tmax k199 -0.045314 0.071694
Tmax k200 -0.045345 0.071723
Tmax k201 -0.045331 0.071702
Tmax k202 -0.045358 0.071697
Tmax k203 -0.046160 0.071771
Tmax k204 -0.045300 0.071694
Tmax k205 -0.045149 0.071670
Tmax k206 -0.045246 0.071675
Tmax k207 -0.045313 0.071700
Tmax k208 -0.045379 0.071705
Tmax k209 -0.045334 0.071689
Tmax k210 -0.045407 0.071667
Tmax k211 -0.045383 0.071690
Tmax k212 -0.045429 0.071685
Tmax k213 -0.045308 0.071674
Tmax k214 -0.045249 0.071689
Tmax k215 -0.045336 0.071696
Tmax k216 -0.045357 0.071697
Tmax k217 -0.045359 0.071697
Tmax k218 -0.045360 0.071697
Tmax k219 -0.045358 0.071697
Tmax k220 -0.045364 0.071698
Tmax k221 -0.045358 0.071697
Tmax k222 -0.045358 0.071697
Tmax k223 -0.045452 0.071688
Tmax k224 -0.045367 0.071709
Tmax k225 -0.045350 0.071697
Tmax k226 -0.045364 0.071700
Tmax k227 -0.045350 0.071698
Tmax k228 -0.045354 0.071697
Tmax k229 -0.045356 0.071698
Tmax k230 -0.045366 0.071697
Tmax k231 -0.045352 0.071696
Tmax k232 -0.045353 0.071697
Tmax k233 -0.045372 0.071696
Tmax k234 -0.045394 0.071699
