Parameter S1 S1_conf ST ST_conf
k262 -0.000224 0.000492 0.000005 0.000002
k263 -0.000132 0.000259 0.000001 0.000001
k264 -0.000045 0.000078 0.000000 0.000000
k265 -0.001634 0.004369 0.000325 0.000118
k266 -0.000150 0.002317 0.000090 0.000022
k267 -0.000045 0.000416 0.000003 0.000001
k268 0.000496 0.000743 0.000009 0.000006
k269 0.000121 0.000175 0.000001 0.000001
k270 -0.000087 0.000189 0.000001 0.000001
k271 -0.000074 0.000186 0.000001 0.000000
k272 0.000182 0.000284 0.000001 0.000000
k273 0.000322 0.000754 0.000052 0.000097
k274 -0.001661 0.001523 0.000040 0.000029
k275 -0.000159 0.001791 0.000056 0.000025
k276 -0.001204 0.002559 0.000113 0.000044
k277 0.000366 0.001393 0.000031 0.000013
k278 0.000036 0.000131 0.000000 0.000000
k279 0.000002 0.000010 0.000000 0.000000
k280 -0.000229 0.000818 0.000015 0.000012
k281 0.000428 0.000575 0.000005 0.000003
k282 -0.000012 0.000018 0.000000 0.000000
k283 -0.000010 0.000022 0.000000 0.000000
k284 0.000085 0.000198 0.000001 0.000001
k285 0.000001 0.000001 0.000000 0.000000
k286 -0.000267 0.003320 0.000251 0.000193
k287 -0.000510 0.000648 0.000005 0.000005
k288 0.000554 0.003576 0.000214 0.000064
k289 0.000034 0.000052 0.000000 0.000000
k290 0.001468 0.003480 0.000196 0.000095
k291 0.001190 0.008510 0.001310 0.000278
k292 0.000201 0.000522 0.000005 0.000002
k293 0.001983 0.007217 0.000956 0.000204
k294 0.000031 0.001412 0.000035 0.000014
k295 -0.010416 0.016164 0.004248 0.000752
k296 0.002642 0.005037 0.000396 0.000155
k297 0.003037 0.007599 0.000912 0.000189
k298 0.014173 0.023185 0.009835 0.001401
k299 -0.003214 0.004362 0.000355 0.000098
k300 -0.000224 0.000459 0.000010 0.000017
k301 0.000096 0.002019 0.000085 0.000076
k302 -0.000276 0.001848 0.000062 0.000057
k303 -0.000057 0.000150 0.000000 0.000000
k304 0.000206 0.000509 0.000004 0.000004
k305 -0.000075 0.000098 0.000000 0.000000
k306 -0.000041 0.000064 0.000000 0.000000
k307 -0.000054 0.001390 0.000039 0.000015
k308 0.000133 0.001229 0.000024 0.000016
k309 0.000325 0.001032 0.000021 0.000026
k310 0.000039 0.000406 0.000003 0.000003
k311 0.000908 0.006563 0.000809 0.000870
k312 -0.002819 0.012073 0.002898 0.000652
k313 -0.000846 0.001091 0.000048 0.000072
k314 0.005484 0.008236 0.001199 0.000407
k315 0.000000 0.000000 0.000000 0.000000
k316 -0.004584 0.019825 0.007163 0.001389
k317 0.000623 0.000756 0.000009 0.000008
k318 0.005742 0.014780 0.004045 0.000843
k319 0.002639 0.007918 0.001035 0.000196
k320 0.001262 0.005606 0.000648 0.000203
k321 0.000413 0.001348 0.000024 0.000031
k322 -0.000690 0.001479 0.000039 0.000024
k323 -0.000671 0.002541 0.000086 0.000080
k324 0.000098 0.000284 0.000001 0.000002
k325 0.000061 0.000615 0.000008 0.000010
k326 0.000091 0.000134 0.000001 0.000002
k327 0.000575 0.001163 0.000017 0.000033
k328 -0.000845 0.001453 0.000038 0.000021
k329 0.000712 0.001774 0.000047 0.000050
k330 -0.000337 0.000890 0.000015 0.000004
k331 -0.000038 0.000499 0.000005 0.000007
k332 0.001736 0.005245 0.000520 0.000246
k333 0.003468 0.015321 0.003935 0.000890
k334 -0.000124 0.000853 0.000016 0.000017
k335 0.000000 0.000000 0.000000 0.000000
k336 -0.005062 0.006022 0.000574 0.000293
k337 -0.000326 0.022015 0.008464 0.001509
k338 0.000446 0.001137 0.000022 0.000010
k339 0.001928 0.015501 0.003961 0.000684
k340 0.002756 0.007308 0.000958 0.000213
k341 0.000795 0.006394 0.000671 0.000165
k342 -0.000039 0.000847 0.000014 0.000012
k343 0.000373 0.000484 0.000003 0.000004
k344 0.000000 0.000000 0.000000 0.000000
k345 0.000108 0.000188 0.000000 0.000001
k346 0.000007 0.000019 0.000000 0.000000
k347 0.000382 0.000729 0.000051 0.000097
k348 0.000387 0.000735 0.000052 0.000099
k349 0.000253 0.000438 0.000003 0.000002
k350 0.000032 0.000279 0.000001 0.000001
k351 0.000012 0.000358 0.000002 0.000001
k352 0.000491 0.000816 0.000053 0.000098
k353 0.000104 0.000559 0.000005 0.000005
k354 -0.000091 0.001055 0.000020 0.000005
k355 0.000129 0.000213 0.000001 0.000001
k356 0.000282 0.002333 0.000081 0.000060
k357 0.000013 0.001210 0.000020 0.000022
k358 -0.001196 0.001970 0.000068 0.000024
k359 0.000071 0.000685 0.000013 0.000013
k360 -0.000881 0.001626 0.000048 0.000011
k361 -0.000580 0.001378 0.000037 0.000012
k362 0.000003 0.001725 0.000057 0.000021
k363 -0.000043 0.000118 0.000000 0.000000
k364 -0.000199 0.000235 0.000001 0.000001
k365 0.000081 0.000122 0.000000 0.000000
k366 0.000037 0.000116 0.000000 0.000000
k367 -0.000008 0.000025 0.000000 0.000000
k368 0.000001 0.000001 0.000000 0.000000
k369 0.000001 0.000001 0.000000 0.000000
k370 -0.000002 0.000046 0.000000 0.000000
k371 0.000550 0.000776 0.000052 0.000097
k372 -0.000004 0.000013 0.000000 0.000000
k373 0.000017 0.000069 0.000000 0.000000
k374 -0.000379 0.000761 0.000010 0.000010
k375 -0.000032 0.000045 0.000000 0.000000
k376 0.000074 0.000175 0.000002 0.000003
k377 0.000717 0.000994 0.000015 0.000015
k378 -0.000038 0.000815 0.000020 0.000028
k379 -0.000010 0.000081 0.000000 0.000000
k380 0.000000 0.000003 0.000000 0.000000
k381 -0.000052 0.000149 0.000000 0.000000
k382 -0.000026 0.000057 0.000000 0.000000
k383 0.000090 0.000193 0.000001 0.000001
k384 0.000000 0.000000 0.000000 0.000000
k385 0.001156 0.003175 0.000318 0.000340
k386 0.000069 0.000429 0.000003 0.000004
k387 0.000111 0.000175 0.000001 0.000001
k388 -0.000170 0.000242 0.000001 0.000001
k389 0.000009 0.000151 0.000000 0.000001
k390 0.000003 0.000004 0.000000 0.000000
k391 -0.000664 0.001580 0.000038 0.000032
k392 -0.000579 0.001359 0.000036 0.000029
k393 0.000015 0.000847 0.000010 0.000008
k394 0.000106 0.000237 0.000001 0.000001
k395 0.000000 0.000000 0.000000 0.000000
k396 -0.001592 0.001884 0.000062 0.000027
k397 0.000325 0.001249 0.000030 0.000019
k398 0.003794 0.005215 0.000552 0.000194
k399 0.000756 0.002479 0.000116 0.000057
k400 -0.001623 0.002405 0.000094 0.000031
k401 0.000432 0.001366 0.000028 0.000023
k402 0.000102 0.003414 0.000190 0.000101
k403 0.001187 0.002044 0.000081 0.000039
k404 0.000695 0.001289 0.000030 0.000013
k405 -0.000114 0.000644 0.000005 0.000006

Parameter_1 Parameter_2 S2 S2_conf
Tmax h -0.002178 0.089877
Tmax Carbon -0.001403 0.090151
Tmax Hydrogen -0.006878 0.089914
Tmax k0 -0.003520 0.090046
Tmax k1 -0.002659 0.090156
Tmax k2 -0.001776 0.089776
Tmax k3 -0.003059 0.089925
Tmax k4 -0.002322 0.090019
Tmax k5 -0.001971 0.089977
Tmax k6 -0.002637 0.089635
Tmax k7 -0.002008 0.089894
Tmax k8 -0.002780 0.089867
Tmax k9 -0.001479 0.089934
Tmax k10 -0.002238 0.089982
Tmax k11 -0.002407 0.089971
