Parameter S1 S1_conf ST ST_conf
k306 -0.000013 0.000024 0.000000 0.000000
k307 -0.000373 0.001118 0.000056 0.000026
k308 -0.000089 0.000366 0.000007 0.000003
k309 0.000162 0.000499 0.000016 0.000007
k310 -0.000084 0.000131 0.000000 0.000000
k311 -0.001876 0.004364 0.000752 0.000280
k312 -0.002548 0.009709 0.004136 0.000900
k313 0.000626 0.000786 0.000028 0.000033
k314 0.001404 0.007930 0.002847 0.000790
k315 0.000000 0.000000 0.000000 0.000000
k316 0.001334 0.015253 0.009540 0.001602
k317 0.000071 0.000594 0.000017 0.000005
k318 0.002993 0.010400 0.004488 0.000633
k319 0.005001 0.007353 0.002479 0.000502
k320 -0.002995 0.003270 0.000525 0.000104
k321 0.000623 0.001098 0.000029 0.000029
k322 0.000016 0.000172 0.000001 0.000001
k323 -0.001208 0.002069 0.000127 0.000091
k324 0.000015 0.000092 0.000000 0.000000
k325 0.000033 0.000070 0.000000 0.000000
k326 -0.000013 0.000063 0.000000 0.000000
k327 -0.000215 0.000363 0.000007 0.000013
k328 -0.000696 0.000790 0.000035 0.000021
k329 0.000347 0.000908 0.000026 0.000031
k330 -0.000518 0.000823 0.000038 0.000016
k331 0.000033 0.000245 0.000001 0.000001
k332 -0.001625 0.003096 0.000506 0.000194
k333 0.004501 0.012076 0.005402 0.001289
k334 0.000043 0.000807 0.000016 0.000016
k335 0.000000 0.000000 0.000000 0.000000
k336 -0.004583 0.005319 0.001471 0.000632
k337 0.000703 0.015024 0.009268 0.001351
k338 0.000436 0.000671 0.000021 0.000007
k339 0.000595 0.009882 0.004636 0.000634
k340 0.006372 0.008069 0.002760 0.000615
k341 0.001051 0.006109 0.001812 0.000360
k342 0.000060 0.000482 0.000014 0.000016
k343 -0.000073 0.000157 0.000001 0.000002
k344 0.000000 0.000000 0.000000 0.000000
k345 0.000129 0.000214 0.000001 0.000001
k346 -0.000003 0.000005 0.000000 0.000000
k347 0.000076 0.000149 0.000002 0.000004
k348 0.000077 0.000151 0.000002 0.000004
k349 0.000023 0.000183 0.000001 0.000001
k350 0.000066 0.000121 0.000000 0.000001
k351 0.000095 0.000190 0.000002 0.000001
k352 0.000050 0.000163 0.000002 0.000004
k353 -0.000033 0.000470 0.000007 0.000005
k354 -0.000377 0.001182 0.000065 0.000028
k355 -0.000099 0.000159 0.000001 0.000001
k356 0.000920 0.002297 0.000258 0.000248
k357 -0.000115 0.001137 0.000071 0.000060
k358 0.002401 0.002076 0.000198 0.000080
k359 -0.000073 0.000135 0.000001 0.000001
k360 -0.000938 0.001417 0.000077 0.000017
k361 -0.000551 0.001246 0.000055 0.000019
k362 0.001097 0.002953 0.000450 0.000159
k363 -0.000116 0.000218 0.000001 0.000001
k364 -0.000005 0.000035 0.000000 0.000000
k365 0.000178 0.000269 0.000001 0.000002
k366 0.000060 0.000156 0.000000 0.000001
k367 0.000003 0.000008 0.000000 0.000000
k368 0.000001 0.000001 0.000000 0.000000
k369 0.000000 0.000001 0.000000 0.000000
k370 0.000012 0.000009 0.000000 0.000000
k371 0.000081 0.000149 0.000002 0.000004
k372 0.000002 0.000007 0.000000 0.000000
k373 0.000052 0.000108 0.000004 0.000007
k374 -0.000216 0.000281 0.000004 0.000004
k375 -0.000014 0.000028 0.000000 0.000000
k376 -0.000040 0.000095 0.000001 0.000002
k377 0.000445 0.000558 0.000015 0.000017
k378 0.000323 0.000611 0.000008 0.000007
k379 -0.000015 0.000045 0.000000 0.000000
k380 0.000001 0.000002 0.000000 0.000000
k381 0.000114 0.000124 0.000004 0.000007
k382 -0.000006 0.000050 0.000000 0.000000
k383 -0.000099 0.000200 0.000004 0.000008
k384 0.000000 0.000000 0.000000 0.000000
k385 -0.000012 0.000563 0.000017 0.000019
k386 -0.000075 0.000237 0.000003 0.000003
k387 0.000045 0.000051 0.000000 0.000001
k388 -0.000031 0.000059 0.000000 0.000000
k389 -0.000006 0.000028 0.000000 0.000000
k390 0.000001 0.000002 0.000000 0.000000
k391 -0.000075 0.000295 0.000007 0.000005
k392 -0.000241 0.000412 0.000005 0.000005
k393 -0.000112 0.000328 0.000006 0.000003
k394 0.000046 0.000100 0.000000 0.000000
k395 0.000000 0.000000 0.000000 0.000000
k396 -0.000285 0.001355 0.000090 0.000042
k397 -0.000393 0.000691 0.000023 0.000013
k398 0.004416 0.004644 0.000988 0.000402
k399 -0.001027 0.001742 0.000140 0.000064
k400 -0.001002 0.001851 0.000163 0.000050
k401 0.000040 0.000186 0.000002 0.000002
k402 -0.001773 0.002539 0.000222 0.000097
k403 0.000398 0.001319 0.000085 0.000023
k404 -0.000189 0.001954 0.000231 0.000104
k405 -0.000037 0.000308 0.000006 0.000007

Parameter_1 Parameter_2 S2 S2_conf
Tmax h -0.005328 0.060980
Tmax Carbon -0.003637 0.062612
Tmax Hydrogen -0.009804 0.064195
Tmax k0 -0.005548 0.060856
Tmax k1 -0.005276 0.060874
Tmax k2 -0.005985 0.060980
Tmax k3 -0.005131 0.060742
Tmax k4 -0.005529 0.060928
Tmax k5 -0.005876 0.060951
Tmax k6 -0.004634 0.060629
Tmax k7 -0.004902 0.060698
Tmax k8 -0.005277 0.060864
Tmax k9 -0.005917 0.060930
Tmax k10 -0.005699 0.060883
Tmax k11 -0.005791 0.060890
Tmax k12 -0.005701 0.060899
Tmax k13 -0.005781 0.060890
Tmax k14 -0.007397 0.060809
Tmax k15 -0.005746 0.060938
Tmax k16 -0.005789 0.060887
Tmax k17 -0.006346 0.060778
Tmax k18 -0.005760 0.060885
Tmax k19 -0.005884 0.060872
Tmax k20 -0.004701 0.060723
Tmax k21 -0.005426 0.060543
Tmax k22 -0.005772 0.060896
Tmax k23 -0.006093 0.060828
Tmax k24 -0.005773 0.060889
Tmax k25 -0.005468 0.060896
Tmax k26 -0.005835 0.060953
Tmax k27 -0.005803 0.060891
Tmax k28 -0.004888 0.061217
Tmax k29 -0.005307 0.060773
Tmax k30 -0.004462 0.060896
Tmax k31 -0.004427 0.061130
Tmax k32 -0.005882 0.060901
Tmax k33 -0.005770 0.060890
Tmax k34 -0.005600 0.060831
Tmax k35 -0.005563 0.060858
Tmax k36 -0.005768 0.060888
Tmax k37 -0.005779 0.060891
Tmax k38 -0.006221 0.061059
Tmax k39 -0.005833 0.060939
Tmax k40 -0.005789 0.060895
Tmax k41 -0.005752 0.060879
Tmax k42 -0.006868 0.060844
Tmax k43 -0.005900 0.060922
Tmax k44 -0.005758 0.060886
Tmax k45 -0.005740 0.060891
Tmax k46 -0.005821 0.060842
Tmax k47 -0.005721 0.060886
Tmax k48 -0.005296 0.060693
Tmax k49 -0.005566 0.060846
Tmax k50 -0.005573 0.060672
Tmax k51 -0.005565 0.060888
Tmax k52 -0.005552 0.060900
Tmax k53 -0.005998 0.060873
Tmax k54 -0.005749 0.060874
Tmax k55 -0.005827 0.060922
Tmax k56 -0.005688 0.060849
Tmax k57 -0.004920 0.060973
Tmax k58 -0.005300 0.060609
Tmax k59 -0.005781 0.060891
Tmax k60 -0.005781 0.060891
Tmax k61 -0.005920 0.060878
Tmax k62 -0.005770 0.060893
Tmax k63 -0.005355 0.060889
Tmax k64 -0.005781 0.060891
Tmax k65 -0.005779 0.060890
Tmax k66 -0.005774 0.060891
Tmax k67 -0.005814 0.060898
Tmax k68 -0.005957 0.060923
Tmax k69 -0.005821 0.060894
Tmax k70 -0.005772 0.060862
Tmax k71 -0.005776 0.060898
Tmax k72 -0.005781 0.060891
Tmax k73 -0.005875 0.060903
Tmax k74 -0.005781 0.060891
Tmax k75 -0.005696 0.060886
Tmax k76 -0.005780 0.060891
Tmax k77 -0.005779 0.060891
Tmax k78 -0.005784 0.060891
Tmax k79 -0.005769 0.060894
Tmax k80 -0.006103 0.060936
Tmax k81 -0.005882 0.060920
Tmax k82 -0.006421 0.060883
Tmax k83 -0.005724 0.060897
Tmax k84 -0.005778 0.060890
Tmax k85 -0.005781 0.060890
Tmax k86 -0.005628 0.060892
Tmax k87 -0.005701 0.060905
Tmax k88 -0.005558 0.060869
Tmax k89 -0.005966 0.060930
Tmax k90 -0.005862 0.060908
Tmax k91 -0.005986 0.060914
Tmax k92 -0.005875 0.060924
Tmax k93 -0.005422 0.060754
Tmax k94 -0.005781 0.060891
Tmax k95 -0.005781 0.060891
Tmax k96 -0.005781 0.060891
Tmax k97 -0.005781 0.060891
Tmax k98 -0.005781 0.060891
Tmax k99 -0.005781 0.060891
Tmax k100 -0.005781 0.060891
Tmax k101 -0.005784 0.060894
Tmax k102 -0.005781 0.060891
Tmax k103 -0.005779 0.060891
Tmax k104 -0.005434 0.060807
Tmax k105 -0.004640 0.060857
Tmax k106 -0.006422 0.061054
Tmax k107 -0.005905 0.060851
Tmax k108 -0.007467 0.060924
Tmax k109 -0.005645 0.060889
Tmax k110 -0.006417 0.061094
Tmax k111 -0.005779 0.060891
Tmax k112 -0.005782 0.060891
Tmax k113 -0.005781 0.060891
Tmax k114 -0.005781 0.060891
Tmax k115 -0.005931 0.060864
Tmax k116 -0.005781 0.060891
Tmax k117 -0.005800 0.060890
Tmax k118 -0.005785 0.060884
Tmax k119 -0.005804 0.060890
Tmax k120 -0.005781 0.060891
Tmax k121 -0.005777 0.060889
Tmax k122 -0.005781 0.060891
Tmax k123 -0.005781 0.060891
Tmax k124 -0.005782 0.060891
Tmax k125 -0.005780 0.060891
Tmax k126 -0.005779 0.060891
Tmax k127 -0.005801 0.060890
Tmax k128 -0.005779 0.060890
Tmax k129 -0.005815 0.060893
Tmax k130 -0.005700 0.060883
Tmax k131 -0.005781 0.060891
Tmax k132 -0.005781 0.060891
Tmax k133 -0.005780 0.060891
Tmax k134 -0.005781 0.060891
Tmax k135 -0.005782 0.060891
Tmax k136 -0.005798 0.060897
Tmax k137 -0.005781 0.060891
Tmax k138 -0.006459 0.061008
Tmax k139 -0.005871 0.060901
Tmax k140 -0.005755 0.060863
Tmax k141 -0.005783 0.060891
Tmax k142 -0.005781 0.060892
Tmax k143 -0.005781 0.060891
Tmax k144 -0.005781 0.060891
Tmax k145 -0.005781 0.060890
Tmax k146 -0.005782 0.060891
Tmax k147 -0.005781 0.060891
Tmax k148 -0.005776 0.060887
Tmax k149 -0.005781 0.060891
Tmax k150 -0.005801 0.060895
Tmax k151 -0.005781 0.060891
Tmax k152 -0.005781 0.060891
Tmax k153 -0.005781 0.060891
Tmax k154 -0.005781 0.060891
Tmax k155 -0.005781 0.060891
Tmax k156 -0.005785 0.060891
Tmax k157 -0.005761 0.060893
Tmax k158 -0.005779 0.060890
Tmax k159 -0.005467 0.060806
Tmax k160 -0.005841 0.060884
Tmax k161 -0.006079 0.060952
Tmax k162 -0.005782 0.060891
Tmax k163 -0.005809 0.060885
Tmax k164 -0.005780 0.060890
Tmax k165 -0.005699 0.060883
Tmax k166 -0.005778 0.060890
Tmax k167 -0.005792 0.060893
Tmax k168 -0.005787 0.060890
Tmax k169 -0.005747 0.060886
Tmax k170 -0.005786 0.060891
Tmax k171 -0.005717 0.060885
Tmax k172 -0.005781 0.060891
Tmax k173 -0.005782 0.060891
Tmax k174 -0.005779 0.060891
Tmax k175 -0.005779 0.060891
Tmax k176 -0.005783 0.060891
Tmax k177 -0.005778 0.060890
Tmax k178 -0.005730 0.060887
Tmax k179 -0.005889 0.060868
Tmax k180 -0.005762 0.060891
Tmax k181 -0.005597 0.060881
Tmax k182 -0.005781 0.060891
Tmax k183 -0.005777 0.060892
Tmax k184 -0.005763 0.060895
Tmax k185 -0.005816 0.060899
Tmax k186 -0.005803 0.060889
Tmax k187 -0.005764 0.060892
Tmax k188 -0.005736 0.060874
Tmax k189 -0.005785 0.060888
Tmax k190 -0.005761 0.060886
Tmax k191 -0.005743 0.060897
Tmax k192 -0.005878 0.060879
Tmax k193 -0.005901 0.060895
Tmax k194 -0.005773 0.060890
Tmax k195 -0.005781 0.060891
Tmax k196 -0.005780 0.060891
Tmax k197 -0.005776 0.060890
Tmax k198 -0.005786 0.060891
Tmax k199 -0.005789 0.060898
Tmax k200 -0.005739 0.060892
Tmax k201 -0.005851 0.060907
Tmax k202 -0.005781 0.060891
Tmax k203 -0.005971 0.060923
Tmax k204 -0.005755 0.060890
Tmax k205 -0.005752 0.060881
Tmax k206 -0.005761 0.060887
Tmax k207 -0.005762 0.060889
Tmax k208 -0.005800 0.060888
Tmax k209 -0.005774 0.060890
Tmax k210 -0.005758 0.060884
Tmax k211 -0.005726 0.060854
Tmax k212 -0.005748 0.060890
Tmax k213 -0.005574 0.060889
Tmax k214 -0.005778 0.060892
Tmax k215 -0.005796 0.060888
Tmax k216 -0.005780 0.060891
Tmax k217 -0.005781 0.060891
Tmax k218 -0.005781 0.060891
Tmax k219 -0.005781 0.060891
Tmax k220 -0.005783 0.060890
Tmax k221 -0.005781 0.060891
Tmax k222 -0.005781 0.060891
Tmax k223 -0.005773 0.060893
Tmax k224 -0.005749 0.060895
Tmax k225 -0.005782 0.060891
Tmax k226 -0.005780 0.060890
Tmax k227 -0.005781 0.060890
Tmax k228 -0.005782 0.060891
Tmax k229 -0.005782 0.060891
Tmax k230 -0.005779 0.060892
Tmax k231 -0.005778 0.060891
Tmax k232 -0.005757 0.060891
