Parameter S1 S1_conf ST ST_conf
k299 -0.001089 0.003842 0.001140 0.001896
k300 -0.000370 0.000499 0.000006 0.000006
k301 0.000314 0.001702 0.000088 0.000096
k302 0.000460 0.000971 0.000102 0.000055
k303 0.000019 0.000025 0.000000 0.000000
k304 0.000044 0.000198 0.000002 0.000001
k305 0.000066 0.000067 0.000001 0.000001
k306 0.000013 0.000034 0.000000 0.000000
k307 0.000163 0.001076 0.000075 0.000035
k308 0.000151 0.000469 0.000011 0.000004
k309 0.000022 0.000399 0.000008 0.000003
k310 0.000250 0.000562 0.000005 0.000008
k311 0.000801 0.004539 0.001012 0.000446
k312 0.006390 0.007572 0.003493 0.001250
k313 -0.002263 0.002709 0.000168 0.000161
k314 -0.001966 0.007661 0.004183 0.001459
k315 0.000000 0.000000 0.000000 0.000000
k316 -0.001716 0.013595 0.009657 0.002939
k317 0.000121 0.000327 0.000007 0.000002
k318 -0.001643 0.011295 0.007807 0.002133
k319 -0.003081 0.006765 0.003012 0.000548
k320 0.001523 0.002805 0.000449 0.000097
k321 0.000329 0.000414 0.000039 0.000036
k322 0.000303 0.000610 0.000026 0.000017
k323 -0.000310 0.000978 0.000201 0.000192
k324 0.000000 0.000023 0.000000 0.000000
k325 -0.000084 0.000223 0.000002 0.000002
k326 -0.000060 0.000089 0.000001 0.000001
k327 -0.001011 0.002053 0.000529 0.001049
k328 0.000552 0.000756 0.000046 0.000039
k329 0.000211 0.000793 0.000034 0.000021
k330 0.000311 0.000888 0.000047 0.000017
k331 -0.000015 0.000186 0.000002 0.000001
k332 0.002174 0.003891 0.000829 0.000481
k333 0.004131 0.008846 0.005535 0.001476
k334 0.000156 0.001157 0.000132 0.000168
k335 0.000000 0.000000 0.000000 0.000000
k336 0.005135 0.004978 0.001649 0.000733
k337 -0.000006 0.015053 0.013103 0.003058
k338 -0.000202 0.000499 0.000017 0.000005
k339 0.001737 0.011432 0.008347 0.002042
k340 -0.004153 0.005560 0.001585 0.000412
k341 -0.001216 0.003702 0.000889 0.000258
k342 0.000756 0.001012 0.000033 0.000033
k343 0.000035 0.000207 0.000001 0.000001
k344 0.000000 0.000000 0.000000 0.000000
k345 -0.000010 0.000016 0.000001 0.000002
k346 -0.000002 0.000008 0.000000 0.000000
k347 -0.000348 0.000694 0.000032 0.000063
